011144438;ФИРМА ЭЛЕКТРОПРИВОД, НАУЧНО-ПРОИЗВОДСТВЕННАЯ, ООО (они же Пневмопривод);725
011129827;ЗИНОВЬЕВ С. И К, ООО;20
011155005;СТРОЙРЕСУРС, ООО  не раб.  (они же Ладья);815
011134320;АЛЬЯНС, ООО (оги же МОНОЛИТ, ООО);355
000037553;ПАНАЦЕЯ, ООО ( они же Аксон 28, Евромед);3279
000012068;ШКОЛА №578 ПРИМОРСКОГО РАЙОНА СПБ, ГБОУ;155
000035718;САХАРА, ООО (то-же Вега, Старвэй);110
011137049;ТД КОМАНДОР, ООО;160
000036320;ГИМНАЗИЯ №295 ФРУНЗЕНСКОГО РАЙОНА СПБ ГОУ;50
011120642;ГРАНИТ-ВОЗРОЖДЕНИЕ, ООО;55
011118937;ХИМИТЕК, НПФ, ООО;265
011160202;ДИОНА, ООО (они же Арханг);10
011152955;ТД ТОТАЛ ПРОФИТ, ЗАО;12
011192215;ЦЕНТР РЕСТАВРАЦИОННЫХ ТЕХНОЛОГИЙ, ООО;150
011182978;СМ-ЛАБСЕРВИС, ООО;307
011122511;ПРОМСТРОЙ, ООО;308
011127510;А-ВИНД, ООО (они же АВИНД);88
011153188;ИП ХОРС М.А. (они же "СТОПТАБАК");20
011132504;ТРАНСЛИНК СПБ, ООО (они же Ариес);1460
772176026;ЛАНДШАФТ, ООО ( они же Дальпитерстрой);392
011127020;ЭНЕРГОСТРОЙКОМПЛЕКТ Н, ООО (они же ПромЭнергоСтрой);3721
011119647;ОСНИЧЕВСКИЙ, ООО;340
011128933;ПОЛУПРОВОДНИКОВЫЕ ПРИБОРЫ, ЗАО (они же Аткус);760
011113405;ФАЭТОН-СТРОЙСЕРВИС,ООО ( они же АЗК- Стройинженеринг,Бастион-Стройсервис);1363
011120438;ССТ-ЭНЕРГОТЕХНОЛОГИИ, ЗАО(они же ТИМ-Р,Системы связи и телемеханики, ССТ-ИЦ, ССТ-Электроника);690
011123638;ТЕРМ, ООО (они же Транснефтеавтоматика НПФ);478
011172012;АВТОДОМ, ООО (они же ПЕТРОКОМПЛЕКТ, ООО, Спецтехника);170
000015764;ТЕХНОНИКОЛЬ-СЕВЕР, ЗАО;1225
011143679;КОМПАНИЯ ДЕЛОВОЙ ПАРТНЕР,ФИНАНСОВО-ПРАВОВАЯ, ООО;139
000011437;ФИАЛКА + №13, ООО Наставников 19;288
011121718;ИТАЛКЕРАМИКА, ООО;355
011123380;ПАНДЕНТ ПЛЮС, ООО (они же Пандент);1422
011124619;АЛЕВАС, ООО;150
011147618;КЛИНИКА СЕСИЛЬ+, ООО;693
011144657;ПОЛИМЕР, ООО;1575
011137028;РЕТЕ-ПЛЮС, ООО;210
011142492;ГЛОУБ ТУР КО, ООО;450
011166659;Канавара Групп, ООО (они же Бэт-Экспресс);395
011165600;УПС, ООО;150
011138207;СПЛ, ООО (они же ПИР-Логистика);10
011167526;ТК СПЕКТР-ХИМ, ООО;165
000016305;СК МЕГАПОЛИС, региональное страх.агентство, ООО;1398
011120896;ГЛЯНЕЦ, ИЗДАТЕЛЬСТВО, ООО;90
011166598;АППАРАТ СОВЕТА ФЕДЕРАЦИИ ФЕД. СОБРАНИЯ РФ;185
011124523;БЮРО РУБИН, ЦЕНТРАЛЬНОЕ КОНСТРУКТОРСКОЕ, МОРСКОЙ ТЕХНИКИ, ОАО;3943
011139363;РЕМСТРОЙПРОЕКТ, ООО;80
011124422;НОВЕЙШИЕ СПАЛЬНЫЕ СИСТЕМЫ, ООО;180
011117638;НЕВИС, ООО(они же Партнер Альянс Промторг);2013
011188681;КОМПАНИЯ ЕДИНЫЙ ОКОННЫЙ ЦЕНТР, ООО;30
000010715;ГНИКА, ЗАО (они же Завод Еврофас);227
011139979;КОМПАНИЯ ОМЕГА МЕНЕДЖМЕНТ,  УПРАВЛЯЮЩАЯ , ООО;150
011138491;ЭМПИРИЯ, ООО;330
011193829;НОРД, ООО;174
011140554;РЕЧФЛОТ, ООО;285
011117027;БЕЛРОСС ДЕКОР, ООО ( они же Вертикаль);225
011137247;ВСЛ-СТУДИЯ, ООО;40
011128259;ЛИТЕРРА,  ООО (они же Лингвист);2350
011139969;КОМПАНИЯ НЕРУДНО-ТРАНСПОРТНАЯ, ООО;160
000009879;ГИМНАЗИЯ №397 КИРОВСКОГО РАЙОНА ИМ.Г.В.СТАРОВОЙТОВОЙ, СПБ, ГОУ;1440
011151345;ГРАДИСС, ООО;3157
011121411;В-КОМПЛЕКТ, ЗАО;540
000011652;УСКОВ И ПАРТНЕРЫ, ЗАО(они же Усков и Партнеры, юридическая компания);315
011128708;РОСПОЛИГРАФСНАБЖЕНИЕ, ООО (они же Евроформ);390
011137764;СМУ-2 ГП СПБ, ООО (они же УПРАВЛЕНИЕ №2 СТРОИТЕЛЬНО-МОНТАЖНОЕ, ГП, ООО);2084
011138736;КАСТОМС САППОРТ, АКЦ, ООО;220
000009587;ПЕТРОЛЕСПОРТ, ОАО;3800
011125825;МЕТИЗДЕЛИЯ, ООО;130
130000275;ВИМОС, ООО;60
000013578;СОЮЗ, ЦНО ДПО ЧОУ;180
011188704;КЮЭМАЙ-ДИАГНОСТИКА, ООО;220
011130508;ДОМЭСТИК,ООО (они же ИП Чевдарь С.Г.);305
011130641;ШКОЛА №368 ФРУНЗЕНСКОГО РАЙОНА СПБ ГОУ СОШ;50
011164641;7ВИЗИТ.КОМ, ООО (они же ВВиК);250
011130394;ПРИНЦИП, ООО(они же Гарантия-2);40
011143580;БИЗНЕС-КОММУНИКАЦИИ, ООО;80
000007713;ВИКТОРИЯ, ООО (они же Ассоциация Северные цветы);150
000035733;ШКОЛА №608 КИРОВСКОГО Р-НА, ГОУ СОШ;1480
011123162;УНИВЕРСИТЕТ ГПС МЧС РОССИИ В СПБ, ФГБОУ ВПО;10103
000008023;ГРАНИТ,ООО;10
011117064;КОМПАНИЯ ЭЛЕКТРОМОНТАЖНАЯ С-З , ООО(СЗЭК) (они же Энергофор);2268
011137799;ЛОГОТЕХ, ООО;60
000014330;ТД МК 20, ООО;10
011121119;ТРИУМФ, ООО (они же Дзинтарс-с, ООО);4258
000013124;МЕГА ОЙЛ, ООО;243
011112477;ЭНЕРГОФОРМ,ООО;85
011125285;ДОМ БИЗНЕС СТРОЙ, ООО;10
